,UserName,Tweets ago,Date,Tweet ID,Compound,Positive,Negative,Neutral
0,@BBCWorld,1,2018-10-07 17:05:38+00:00,1048982695748030464,-0.3612,0.0,0.238,0.762
1,@BBCWorld,2,2018-10-07 16:42:28+00:00,1048976864482664448,0.0,0.0,0.0,1.0
2,@BBCWorld,3,2018-10-07 16:14:08+00:00,1048969737366118400,-0.7906,0.0,0.467,0.533
3,@BBCWorld,4,2018-10-07 15:25:50+00:00,1048957582294044673,-0.8126,0.0,0.583,0.417
4,@BBCWorld,5,2018-10-07 15:05:46+00:00,1048952530229755907,0.0,0.0,0.0,1.0
5,@BBCWorld,6,2018-10-07 14:41:29+00:00,1048946418591981568,0.0,0.0,0.0,1.0
6,@BBCWorld,7,2018-10-07 14:22:33+00:00,1048941653426409472,0.5859,0.142,0.0,0.858
7,@BBCWorld,8,2018-10-07 14:00:24+00:00,1048936079536132096,0.0,0.0,0.0,1.0
8,@BBCWorld,9,2018-10-07 13:57:06+00:00,1048935249294630913,-0.5423,0.0,0.31,0.69
9,@BBCWorld,10,2018-10-07 13:34:59+00:00,1048929685273567233,0.2585,0.107,0.07,0.822
10,@BBCWorld,11,2018-10-07 13:13:30+00:00,1048924277653864448,-0.0772,0.234,0.255,0.511
11,@BBCWorld,12,2018-10-07 11:57:05+00:00,1048905045058707456,-0.2755,0.0,0.14,0.86
12,@BBCWorld,13,2018-10-07 11:22:32+00:00,1048896353529712640,0.7096,0.312,0.0,0.688
13,@BBCWorld,14,2018-10-07 11:22:20+00:00,1048896302736728064,0.0,0.0,0.0,1.0
14,@BBCWorld,15,2018-10-07 11:12:56+00:00,1048893935156940800,-0.4336,0.0,0.241,0.759
15,@BBCWorld,16,2018-10-07 11:03:19+00:00,1048891514007502848,0.0,0.0,0.0,1.0
16,@BBCWorld,17,2018-10-07 10:35:54+00:00,1048884616801779713,-0.1531,0.0,0.271,0.729
17,@BBCWorld,18,2018-10-07 10:33:10+00:00,1048883927715393537,-0.6486,0.0,0.323,0.677
18,@BBCWorld,19,2018-10-07 10:32:32+00:00,1048883769946640384,-0.5093,0.0,0.23,0.77
19,@BBCWorld,20,2018-10-07 10:30:58+00:00,1048883374893551616,-0.6249,0.0,0.369,0.631
20,@BBCWorld,21,2018-10-07 10:02:57+00:00,1048876322242662406,0.0,0.0,0.0,1.0
21,@BBCWorld,22,2018-10-07 09:40:49+00:00,1048870756061515777,-0.6597,0.0,0.355,0.645
22,@BBCWorld,23,2018-10-07 07:37:54+00:00,1048839819462430720,-0.6597,0.0,0.306,0.694
23,@BBCWorld,24,2018-10-07 07:01:47+00:00,1048830733496832001,0.0,0.0,0.0,1.0
24,@BBCWorld,25,2018-10-07 06:41:42+00:00,1048825678853033984,0.6633,0.189,0.0,0.811
25,@BBCWorld,26,2018-10-07 05:57:14+00:00,1048814487434940416,-0.6124,0.0,0.208,0.792
26,@BBCWorld,27,2018-10-07 05:21:13+00:00,1048805425242681345,0.6239,0.204,0.0,0.796
27,@BBCWorld,28,2018-10-07 05:04:40+00:00,1048801258004533251,-0.25,0.0,0.286,0.714
28,@BBCWorld,29,2018-10-07 04:46:53+00:00,1048796783311294464,0.4215,0.203,0.0,0.797
29,@BBCWorld,30,2018-10-07 03:43:39+00:00,1048780872160354304,0.0,0.0,0.0,1.0
30,@BBCWorld,31,2018-10-07 01:55:05+00:00,1048753547918155776,-0.128,0.0,0.158,0.842
31,@BBCWorld,32,2018-10-07 01:47:43+00:00,1048751695281496064,0.0,0.0,0.0,1.0
32,@BBCWorld,33,2018-10-07 00:15:32+00:00,1048728496607055874,0.4019,0.31,0.0,0.69
33,@BBCWorld,34,2018-10-06 23:41:55+00:00,1048720036154822656,-0.4588,0.0,0.333,0.667
34,@BBCWorld,35,2018-10-06 23:15:51+00:00,1048713474996621313,-0.6486,0.0,0.346,0.654
35,@BBCWorld,36,2018-10-06 23:12:05+00:00,1048712526857424897,-0.3182,0.0,0.187,0.813
36,@BBCWorld,37,2018-10-06 20:02:10+00:00,1048664733765828608,0.0,0.0,0.0,1.0
37,@BBCWorld,38,2018-10-06 15:43:24+00:00,1048599613924671488,0.3818,0.146,0.085,0.769
38,@BBCWorld,39,2018-10-06 15:32:50+00:00,1048596952840097793,-0.296,0.0,0.18,0.82
39,@BBCWorld,40,2018-10-06 15:09:25+00:00,1048591060203655169,-0.7783,0.0,0.405,0.595
40,@BBCWorld,41,2018-10-06 15:08:36+00:00,1048590855903350784,-0.296,0.0,0.167,0.833
41,@BBCWorld,42,2018-10-06 15:07:47+00:00,1048590651477184514,0.0,0.0,0.0,1.0
42,@BBCWorld,43,2018-10-06 14:52:37+00:00,1048586832915648512,0.3612,0.152,0.0,0.848
43,@BBCWorld,44,2018-10-06 13:56:45+00:00,1048572771909951489,0.5574,0.247,0.0,0.753
44,@BBCWorld,45,2018-10-06 12:24:21+00:00,1048549520446033922,0.4717,0.337,0.0,0.663
45,@BBCWorld,46,2018-10-06 11:35:00+00:00,1048537100965097473,-0.5994,0.0,0.178,0.822
46,@BBCWorld,47,2018-10-06 08:45:15+00:00,1048494384373805056,0.0,0.0,0.0,1.0
47,@BBCWorld,48,2018-10-06 07:15:08+00:00,1048471703909797888,0.2714,0.08,0.0,0.92
48,@BBCWorld,49,2018-10-06 07:08:38+00:00,1048470066000551937,0.0,0.0,0.0,1.0
49,@BBCWorld,50,2018-10-06 06:53:37+00:00,1048466287880495104,0.0,0.0,0.0,1.0
50,@BBCWorld,51,2018-10-06 06:35:20+00:00,1048461686599032832,0.0,0.0,0.0,1.0
51,@BBCWorld,52,2018-10-06 01:10:04+00:00,1048379830411120640,-0.3182,0.0,0.277,0.723
52,@BBCWorld,53,2018-10-06 00:40:35+00:00,1048372413979922432,-0.6461,0.0,0.348,0.652
53,@BBCWorld,54,2018-10-05 23:54:13+00:00,1048360742683115520,0.0,0.0,0.0,1.0
54,@BBCWorld,55,2018-10-05 23:46:51+00:00,1048358887685083136,0.0,0.0,0.0,1.0
55,@BBCWorld,56,2018-10-05 21:21:44+00:00,1048322370216312832,0.0,0.0,0.0,1.0
56,@BBCWorld,57,2018-10-05 20:22:05+00:00,1048307358705827843,0.5574,0.286,0.0,0.714
57,@BBCWorld,58,2018-10-05 20:16:29+00:00,1048305948211732484,-0.4588,0.0,0.13,0.87
58,@BBCWorld,59,2018-10-05 20:01:09+00:00,1048302090068492289,0.0,0.0,0.0,1.0
59,@BBCWorld,60,2018-10-05 19:50:43+00:00,1048299463247376385,0.2732,0.111,0.066,0.823
60,@BBCWorld,61,2018-10-05 19:09:13+00:00,1048289021003218945,0.0,0.0,0.0,1.0
61,@BBCWorld,62,2018-10-05 19:00:57+00:00,1048286940334882817,-0.9169,0.0,0.385,0.615
62,@BBCWorld,63,2018-10-05 18:44:38+00:00,1048282833557577728,-0.5719,0.0,0.316,0.684
63,@BBCWorld,64,2018-10-05 18:37:04+00:00,1048280929129644034,-0.6808,0.157,0.486,0.357
64,@BBCWorld,65,2018-10-05 18:18:59+00:00,1048276379643641862,0.2263,0.16,0.0,0.84
65,@BBCWorld,66,2018-10-05 18:18:57+00:00,1048276370986586112,0.25,0.3,0.0,0.7
66,@BBCWorld,67,2018-10-05 17:52:49+00:00,1048269794821197824,0.4019,0.172,0.0,0.828
67,@BBCWorld,68,2018-10-05 17:33:20+00:00,1048264892896235520,-0.3612,0.0,0.217,0.783
68,@BBCWorld,69,2018-10-05 17:30:45+00:00,1048264241076162561,-0.5423,0.1,0.224,0.676
69,@BBCWorld,70,2018-10-05 15:54:23+00:00,1048239989467873286,0.0,0.0,0.0,1.0
70,@BBCWorld,71,2018-10-05 15:32:03+00:00,1048234368370708480,0.0,0.0,0.0,1.0
